lines: "51"
2022/11/19 47793/2162332
2022/11/18 41562/1408485
2022/11/17 39187/1454659
2022/11/16 46689/259565
2022/11/15 10225/157580
2022/11/14 74194/66280
2022/11/13 1323729/3020138
2022/11/12 2358312/5556732
2022/11/11 36392/795567
2022/11/10 172791/251186
2022/11/09 20582/611515
2022/11/08 87601/4609099
2022/11/07 142664/1998503
2022/11/06 26407/1221839
2022/11/05 778389/1932714
2022/11/04 29888/1493644
2022/11/03 40352/1319802
2022/11/02 33985/652987
2022/11/01 37989/459625
2022/10/30 11890/188867
2022/10/29 10932/163050
2022/10/28 41407/1961038
2022/10/27 137980/6362848
2022/10/26 67235/4835653
2022/10/25 128430/8183987
2022/10/24 238961/6071726
2022/10/23 991321/6492087
2022/10/22 187633/5126655
2022/10/19 93299/330694
2022/10/18 312595/2105253
2022/10/17 181400/5557634
2022/10/16 7481876/18319485
2022/10/15 1684972/6296506
2022/10/14 6627897/478996
2022/10/13 3105489/5326452
2022/10/12 125665/2504319
2022/10/11 121054/2369627
2022/10/10 111255/792239
2022/10/09 2472385/3731293
2022/10/08 190473/6019168
2022/10/07 119583/1040080
2022/10/06 321621/1150195
2022/10/05 2335/27486
2022/10/04 627320/1631586
2022/10/03 22299/112192
2022/10/02 316995/8865313
2022/10/01 142105/587504
2022/09/30 23523/365711
2022/09/29 44332/232229
2022/09/27 139536/3995010
2022/05/31 52/343
